p2,Frequency.34
13.71,5487
87.03,1928
87.44,1700
88.72,1659
99.21,1551
88.76,1506
99.29,1049
03.91,1044
73.6,976
88.01,942
87.41,859
99.04,795
89.52,788
88.78,678
99.18,599
75.34,521
88.91,493
86.3,474
73.4,472
89.65,438
75.69,404
44.13,378
99.25,377
88.75,369
80.26,365
88.79,355
37.22,334
3E03329,312
45.23,303
93.96,301
88.57,294
88.38,267
88.19,261
89.17,251
99.23,240
73.09,239
99.19,236
93.90,233
88.77,218
00.66,210
13.41,204
73.59,203
57.94,196
B246ZZZ,192
65.61,188
45.25,178
68.12,178
93.94,174
50.11,173
3E033NZ,171
3E0C3GC,171
BW40ZZZ,168
B020ZZZ,168
54.21,167
88.41,164
88.97,154
88.56,147
40.11,145
39.95,145
3E033GC,141
54.91,138
34.91,134
38.93,132
44.14,131
80.21,130
96.04,129
37.83,126
BW03ZZZ,123
51.10,123
23.19,119
36.07,118
88.71,118
88.48,117
99.11,117
4A02X4Z,116
37.72,115
89.37,115
33.24,115
37.21,115
75.33,114
89.66,112
86.22,105
34.04,103
89.41,103
70.51,103
12.92,103
40.23,101
88.93,100
45.13,99
39.61,96
87.79,95
30233N1,95
59.8,95
87.62,93
99.17,89
00.40,89
76.39,89
03.31,88
36.06,88
