orden,Frequency.10
1.0,22553.0
2.0,16234.0
3.0,13744.0
4.0,11164.0
5.0,9010.0
6.0,7204.0
7.0,5608.0
8.0,4125.0
9.0,3018.0
10.0,1746.0
11.0,1357.0
12.0,1030.0
13.0,794.0
14.0,597.0
15.0,421.0
16.0,384.0
17.0,270.0
18.0,186.0
19.0,149.0
20.0,91.0
21.0,80.0
22.0,57.0
23.0,49.0
24.0,43.0
25.0,24.0
27.0,18.0
26.0,13.0
29.0,12.0
28.0,11.0
30.0,8.0
