cod_pais,Frequency.1,codes,spanish description,english description,comment
94,1,116,LIECHTENSTEIN,,
113,1,401,AFGANISTAN,,
38,1,329,SAN CRISTOBAL Y NIEVES,,
156,1,239,SENEGAL,,
13,1,351,VENEZUELA,,
154,1,236,SUDAFRICA,,
95,1,600,AFRICA,,
201,1,311,BAHAMAS (LAS),,
151,1,345,ECUADOR,,
90,1,341,BOLIVIA,,
20,1,324,PANAMA,,
214,1,232,NAMIBIA,,
148,1,502,FIJI,,
134,1,299,PAÍSES DE AFRICA SIN RELA,,
32,1,105,CHECOSLOVAQUIA,,
53,1,220,GUINEA ECUATORIAL,,
117,1,201,BURKINA FASSO,,
131,1,248,TUNEZ,,
86,1,412,IRAQ,,
57,1,317,EL SALVADOR,,
102,1,426,PAKISTAN,,
103,1,321,HONDURAS,,
60,1,106,CHIPRE,,
67,1,325,SAN VICENTE Y GRANADINAS,,
2,1,350,URUGUAY,,
135,1,446,TURKMENISTAN,,
