p14,Frequency.46
99.29,24.0
38.93,20.0
99.19,18.0
99.21,14.0
39.96,12.0
88.72,11.0
57.94,10.0
99.04,9.0
88.01,7.0
87.44,6.0
87.41,6.0
89.66,6.0
89.65,6.0
