cod_pais_nacimiento,Frequency.14
108,82273.0
0,3150.0
128,1732.0
125,1721.0
228,1458.0
110,919.0
343,915.0
345,821.0
340,636.0
104,530.0
126,442.0
341,331.0
203,327.0
135,284.0
407,260.0
115,248.0
103,234.0
121,233.0
315,230.0
351,228.0
350,207.0
154,203.0
426,175.0
342,166.0
132,146.0
122,103.0
239,102.0
347,99.0
348,99.0
326,96.0
410,94.0
344,94.0
120,93.0
234,86.0
142,83.0
123,74.0
321,70.0
148,68.0
303,58.0
227,57.0
113,56.0
131,51.0
137,49.0
220,48.0
139,43.0
302,40.0
112,28.0
107,25.0
409,21.0
136,21.0
323,21.0
109,20.0
217,19.0
218,18.0
230,16.0
144,15.0
433,15.0
143,14.0
319,14.0
420,12.0
301,12.0
208,12.0
413,11.0
317,11.0
424,10.0
436,10.0
138,9.0
155,9.0
101,9.0
443,8.0
207,8.0
102,8.0
124,7.0
415,7.0
210,7.0
501,7.0
236,6.0
416,6.0
202,6.0
324,6.0
211,6.0
111,5.0
145,5.0
213,5.0
