cod_zona_asignacion,Frequency.4
3.0,10258.0
5.0,9569.0
4.0,9247.0
9.0,8241.0
7.0,7559.0
10.0,7387.0
1.0,6956.0
2.0,6945.0
8.0,6771.0
6.0,6483.0
11.0,6363.0
12.0,3233.0
13.0,2756.0
14.0,2598.0
15.0,1893.0
16.0,1438.0
17.0,329.0
0.0,270.0
