ano_mes,Frequency.3
201507.0,100.0
201506.0,99.0
201510.0,97.0
201511.0,97.0
201508.0,93.0
201509.0,92.0
201505.0,90.0
201501.0,89.0
201503.0,87.0
201502.0,87.0
201512.0,87.0
201409.0,86.0
201504.0,84.0
201410.0,80.0
201411.0,78.0
201412.0,76.0
