cod_comunidad_procedencia_acred,Frequency.13,codes,spanish description,english description,comment
909,89841.0,13,COMUNIDAD VALENCIANA,,
916,710.0,15,MADRID,,
901,438.0,8,CATALUÑA,,
911,414.0,20,CASTILLA - LA MANCHA,,
904,365.0,4,ANDALUCIA,,
908,252.0,18,MURCIA,,
917,203.0,5,CASTILLA - LEON,,
910,150.0,9,ARAGON,,
914,112.0,6,BALEARES,,
902,84.0,2,PAIS VASCO,,
912,80.0,16,CANARIAS,,
903,77.0,11,GALICIA,,
913,59.0,12,EXTREMADURA,,
905,51.0,19,ASTURIAS,,
906,26.0,7,CANTABRIA,,
915,24.0,3,NAVARRA,,
907,13.0,14,LA RIOJA,,
918,12.0,10,CEUTA,,
999,1,17,DESCONOCIDO,,
919,1,1,MELILLA,,
