p11,Frequency.43
38.93,83.0
99.29,56.0
39.96,42.0
99.19,40.0
99.21,39.0
89.65,27.0
87.44,25.0
89.52,23.0
99.18,22.0
88.01,16.0
99.04,16.0
99.23,16.0
99.17,15.0
88.72,14.0
88.76,13.0
87.41,13.0
87.03,12.0
91.33,12.0
89.66,11.0
88.38,10.0
93.96,10.0
93.90,9.0
99.15,9.0
00.40,8.0
99.07,8.0
99.05,8.0
57.94,8.0
90.53,8.0
96.04,6.0
39.97,6.0
90.52,6.0
93.94,5.0
3E033NZ,5.0
88.57,5.0
88.02,5.0
88.75,5.0
97.65,5.0
