p13,Frequency.45
38.93,34.0
39.96,22.0
99.29,22.0
99.21,18.0
87.44,13.0
99.19,12.0
88.01,11.0
89.65,11.0
99.18,9.0
89.66,9.0
87.03,8.0
99.15,8.0
99.04,8.0
88.72,7.0
57.94,7.0
89.52,6.0
90.53,6.0
88.38,5.0
93.90,5.0
99.07,5.0
87.41,5.0
99.23,5.0
