ano_mes,Frequency.2
201403.0,8442.0
201401.0,8416.0
201409.0,8397.0
201407.0,8355.0
201405.0,8354.0
201404.0,8353.0
201408.0,8349.0
201402.0,8311.0
201412.0,8311.0
201411.0,8283.0
201406.0,8242.0
201410.0,8187.0
