orden,Frequency.11
1,7402.0
2,5957.0
3,4183.0
4,3225.0
5,2385.0
6,1924.0
7,1368.0
8,1032.0
9,728.0
10,421.0
11,319.0
12,233.0
13,152.0
14,144.0
15,95.0
16,65.0
17,55.0
19,40.0
18,36.0
20,23.0
21,23.0
24,12.0
23,11.0
22,9.0
25,7.0
26,5.0
27,5.0
