cod_raf,Frequency.16,codes,spanish description,english description,comment
30,43540.0,6,(AC - 40%),,
21,22987.0,1,(PN - 10%),,
40,13244.0,4,(AC - 50%),,
99,5092.0,2,(BAJA),,
22,4991.0,3,(PN - 10%),,
10,4539.0,13,(PN - 0%),,
65,4525.0,7,(NA - 100%),,
60,570.0,9,(SF - 100%),,
50,263.0,10,(AC - 60%),,
20,95.0,8,(PN - 10%),,
63,83.0,11,(NA - 40%),,
53,69.0,12,(PN - 60%),,
64,1,5,(NA - 50%),,
