cir_alta,Frequency.7
1,63602.0
3,12335.0
2,8864.0
10,7531.0
5,2898.0
7,1552.0
8,1103.0
9,916.0
99,507.0
6,334.0
4,172.0
15,129.0
11,33.0
13,12.0
12,11.0
