cod_pais_procedencia_acred,Frequency.12
108,71142.0
125,936.0
128,797.0
228,421.0
343,298.0
341,224.0
104,209.0
345,200.0
340,170.0
110,137.0
126,137.0
121,102.0
135,99.0
103,91.0
407,86.0
115,83.0
154,82.0
203,82.0
426,77.0
350,67.0
351,66.0
342,65.0
239,59.0
347,59.0
315,58.0
122,41.0
234,40.0
321,40.0
410,38.0
142,38.0
120,37.0
0,33.0
148,32.0
131,30.0
344,29.0
348,28.0
132,25.0
326,24.0
227,23.0
139,22.0
113,20.0
137,19.0
123,17.0
303,15.0
107,14.0
112,13.0
136,11.0
302,11.0
555,9.0
323,9.0
109,7.0
903,7.0
144,6.0
217,6.0
220,6.0
143,5.0
317,5.0
208,5.0
218,5.0
