p9,Frequency.41
38.93,178.0
99.29,153.0
39.96,120.0
99.19,98.0
99.21,88.0
87.44,75.0
88.72,66.0
89.65,62.0
99.18,56.0
99.04,49.0
89.52,47.0
87.41,44.0
93.96,38.0
88.01,35.0
88.76,35.0
89.66,33.0
99.17,31.0
93.94,27.0
93.90,26.0
87.03,26.0
99.23,25.0
57.94,24.0
99.15,21.0
3E03329,20.0
88.78,19.0
88.38,18.0
00.45,18.0
91.33,18.0
88.91,18.0
88.57,16.0
90.53,16.0
99.07,15.0
91.32,15.0
96.04,14.0
00.40,14.0
96.6,14.0
89.37,13.0
88.71,13.0
39.97,12.0
99.05,12.0
3E0337Z,11.0
00.66,11.0
13.41,10.0
39.95,10.0
96.72,10.0
99.26,10.0
88.19,10.0
88.02,9.0
88.97,9.0
90.52,9.0
99.20,9.0
96.07,8.0
3E033GC,8.0
96.71,8.0
88.73,8.0
96.39,8.0
86.22,7.0
4A02X4Z,7.0
96.70,7.0
99.10,7.0
91.39,7.0
90.59,7.0
87.49,7.0
30233N1,6.0
3E033NZ,6.0
B246ZZZ,6.0
36.07,6.0
88.75,6.0
60.11,6.0
89.13,5.0
14.75,5.0
45.13,5.0
88.56,5.0
88.53,5.0
75.34,5.0
4A12X45,5.0
