cir_alta,Frequency.7
1,68557.0
3,13523.0
2,7579.0
10,4874.0
5,1779.0
7,1450.0
8,733.0
99,498.0
9,422.0
6,195.0
15,188.0
4,152.0
11,31.0
13,15.0
