p10,Frequency.42
39.96,101.0
38.93,89.0
99.29,80.0
99.19,58.0
99.21,56.0
88.72,52.0
87.44,41.0
99.04,32.0
89.65,31.0
89.52,26.0
99.18,24.0
93.94,21.0
89.66,21.0
87.03,20.0
88.76,20.0
87.41,20.0
88.01,19.0
93.96,15.0
93.90,15.0
99.17,14.0
91.33,14.0
99.15,13.0
99.05,12.0
57.94,12.0
39.97,10.0
99.23,10.0
3E03329,10.0
96.07,9.0
88.57,9.0
00.45,9.0
99.07,9.0
90.53,9.0
96.04,8.0
99.26,8.0
00.40,7.0
36.07,7.0
91.32,7.0
88.02,6.0
88.79,6.0
89.13,5.0
86.28,5.0
88.38,5.0
89.37,5.0
03.91,5.0
96.71,5.0
89.54,5.0
90.43,5.0
3E0F7SF,5.0
38.91,5.0
96.6,5.0
00.66,5.0
