cir_alta,Frequency.8
1.0,16976660.0
3.0,3293246.0
2.0,2207866.0
10.0,1712352.0
5.0,670409.0
7.0,393908.0
8.0,251040.0
9.0,202150.0
99.0,135614.0
6.0,69060.0
4.0,43302.0
15.0,37358.0
11.0,8697.0
13.0,2948.0
12.0,1358.0
0.0,78.0
