fecha_fin_tratamiento,Frequency.6
2014-04-03,66618.0
2015-04-13,66571.0
2015-09-21,66505.0
2015-02-21,66464.0
2014-09-24,66391.0
2014-02-07,66355.0
2015-09-17,66324.0
2014-06-10,66225.0
2015-07-22,66193.0
2015-10-08,66139.0
2014-06-03,66057.0
2014-12-02,66054.0
2014-03-03,66027.0
2015-06-22,66005.0
2015-11-06,65972.0
2015-12-11,65972.0
2015-01-06,65797.0
2015-09-25,65760.0
2014-03-06,65751.0
2014-05-06,65716.0
2014-10-08,65646.0
2015-02-28,65576.0
2014-12-17,65491.0
2014-04-14,65429.0
2014-11-11,65397.0
2014-02-27,65394.0
2015-10-16,65387.0
2015-10-23,65276.0
2014-11-04,65260.0
2014-04-29,65197.0
2014-02-24,65162.0
2014-09-30,65140.0
2014-11-25,65113.0
2014-11-18,64870.0
2014-03-20,64682.0
2014-01-10,64574.0
2014-10-28,64479.0
2014-12-18,64457.0
2015-06-19,64410.0
2015-07-06,64367.0
2014-12-15,64361.0
2014-01-31,64326.0
2015-03-01,63997.0
2015-09-18,63954.0
2014-04-04,63901.0
2014-05-08,63799.0
2014-04-30,63730.0
2015-07-02,63708.0
2014-02-14,63664.0
2015-02-22,63577.0
2014-03-27,63548.0
2015-07-21,63508.0
2014-10-14,63504.0
2014-05-29,63501.0
2014-12-09,63486.0
2014-04-10,63392.0
2014-05-07,63254.0
2014-12-11,63205.0
2014-10-20,63170.0
2014-10-16,63131.0
2015-07-09,63092.0
2014-10-07,62941.0
2014-02-28,62816.0
2014-01-18,62780.0
2015-08-26,62727.0
2015-03-14,62689.0
2015-03-29,62673.0
2014-06-17,62610.0
2014-12-01,62582.0
2015-06-29,62562.0
2015-07-13,62484.0
2014-11-13,62457.0
2014-09-17,62406.0
2015-06-12,62400.0
2014-05-22,62386.0
2014-07-02,62347.0
2015-12-30,62338.0
2015-09-11,62220.0
2014-04-22,62205.0
2014-11-24,62200.0
2014-11-27,62133.0
2014-12-23,62132.0
2015-09-10,62111.0
2015-07-28,62075.0
2015-08-19,61937.0
2015-09-01,61899.0
2014-06-05,61856.0
2014-10-27,61846.0
2015-09-08,61828.0
2015-09-03,61732.0
2014-03-14,61698.0
2015-03-15,61666.0
2014-11-20,61656.0
2014-10-06,61581.0
2014-11-03,61548.0
2015-08-12,61428.0
2015-04-17,61332.0
2015-12-28,61323.0
2014-05-19,61306.0
2014-05-12,61284.0
2015-07-03,61266.0
2014-12-04,61254.0
2014-05-27,61246.0
2014-04-24,61170.0
2015-09-14,61116.0
2014-03-07,61062.0
2014-10-23,61017.0
2014-10-30,60935.0
2014-11-10,60925.0
2015-07-29,60887.0
2014-12-22,60882.0
2014-09-23,60815.0
2014-11-17,60775.0
2014-06-12,60759.0
2014-06-02,60641.0
2015-07-10,60631.0
2014-07-09,60564.0
2014-07-01,60542.0
2014-05-26,60535.0
2014-06-09,60392.0
2014-02-21,60368.0
2015-07-16,60311.0
2015-03-21,60299.0
2014-01-26,60249.0
2014-03-21,60156.0
2014-03-17,60040.0
2014-02-08,60035.0
2014-01-19,59905.0
2014-01-01,59873.0
2014-10-02,59836.0
2015-03-08,59791.0
2014-04-07,59759.0
2014-04-11,59748.0
2015-08-25,59625.0
2014-12-19,59623.0
2014-11-06,59580.0
2014-03-18,59541.0
2015-07-17,59532.0
2014-05-09,59399.0
2015-08-18,59377.0
2014-09-16,59312.0
2015-08-04,59309.0
2015-09-07,59282.0
2014-09-10,59270.0
2014-10-13,59200.0
2014-07-08,59188.0
2015-12-29,59166.0
2015-09-04,59131.0
2014-06-24,59073.0
2014-05-15,58881.0
2015-05-09,58818.0
2014-10-24,58790.0
2014-10-17,58762.0
2014-02-01,58727.0
2014-03-31,58670.0
2015-07-20,58552.0
2014-09-29,58545.0
2014-02-15,58492.0
2014-03-24,58482.0
2014-05-23,58465.0
2015-07-23,58423.0
2015-03-22,58261.0
2014-02-02,58209.0
2015-03-19,57980.0
2014-02-09,57970.0
2014-11-21,57949.0
2014-04-17,57860.0
2015-07-27,57826.0
2015-03-07,57793.0
2014-11-14,57773.0
2014-07-30,57750.0
2014-10-31,57728.0
2014-05-05,57592.0
2015-04-26,57581.0
