cod_diagnostico,Frequency.4
287.5,33620
600.90,33590
454.9,33531
577.0,33391
780.6,33273
600.0,33233
V41.1,33164
F17.210,32972
593.9,32653
389.1,32618
45.23,32610
719.44,32573
491.9,32457
V12.59,32453
780.9,32334
959.7,32321
790.99,32106
782.7,32105
787.3,32097
416.8,32045
81.54,32037
891.0,31938
309.0,31856
703.0,31603
88.19,31560
250,31473
626.4,31435
429.9,31415
704.0,31413
604.90,31413
53.05,31408
476.0,31407
528.2,31384
57.49,31270
989.8,31264
719.42,31075
854.00,30908
Z87.891,30891
709.8,30824
V43.3,30819
727.41,30675
88.75,30629
00.40,30582
724.02,30528
783.21,30504
00179,30477
616.1,30458
20.10.01,30388
783.2,30335
995.2,30313
V45.81,30250
37.22,30175
302.72,30118
00099,30116
111.0,30078
574.2,30028
702.8,29983
93.90,29912
V10.3,29866
00131,29854
628.9,29843
214.1,29747
75.33,29746
263.9,29724
704.8A,29708
V45.79,29660
362.01,29594
272.2G,29580
690.1,29561
455.3,29420
719.40,29359
E905.3,29257
305.0,29214
386.1,29068
518.82,29065
V46.8,29036
781.0,28841
373.00,28621
923.20,28620
844.9,28270
V07.39O,28248
110.5,28087
V45.77,28069
V14.1,28050
590.10,27971
365.04,27904
607.1,27829
709.00,27826
574,27819
791.9,27709
578.9,27665
228.00,27627
250.02,27550
112.2,27538
571.2,27530
241.0,27498
198.5,27472
197.0,27307
57.94,27302
717.7,27252
0002N,27242
241.1,27119
566,27110
88.56,27029
531,27008
04.43,26988
276.1,26717
592.1,26684
00011,26671
00030,26670
788.20,26647
705.81,26546
427.32,26541
585.6,26452
923.00,26434
519.11,26381
50.02,26354
80.26,26326
294.8,26258
401.0,26193
00099A,25867
20.10.03,25847
373.0,25808
367.9,25779
465.9,25776
309.28,25757
250.70,25553
042,25477
366.12,25450
454,25417
492.8,25415
686.9,25227
290.40,25220
426.3,25219
524.6,25211
726.71,25163
V88.01,25160
298.9,25132
293.0,25117
99.25,25085
041.4,25059
705.83,25015
640.0,24989
00206,24938
565.1,24917
415.19,24902
726,24890
216,24855
924.8,24855
338.29,24783
648.91,24742
664.01,24734
88.77,24730
780.60,24715
654.21,24679
784.42,24669
90.59,24648
733.6,24509
3E033GC,24485
735.5,24470
700,24455
820.8,24453
923.21,24422
477.9B,24311
682.6,24310
V05.9,24229
695.3,24209
458,24179
300.02,24107
89.66,24076
72.71,24049
Z37.0,24042
351.0,24031
477.0,24027
410,23956
727.04,23951
88.71,23877
242.9,23703
464.0,23621
88.97,23606
372.40,23526
507.0,23509
-2,23496
373.12,23430
573.8,23427
794.31,23371
276.7,23341
789.01,23335
V22.1,23242
96.04,23151
845.0,23123
684,23101
00.45,23090
681.9,22997
054.9,22973
627.3,22947
251.2,22926
306.4,22866
00002,22745
780.09,22605
715.94,22593
529.0,22584
998.59,22512
995.27,22494
00100,22415
605,22412
540.9,22389
V47.4,22353
362.50,22332
034.0,22196
786.3,22187
Z79.01,22182
949.0,22180
429.3,22156
3E033NZ,21973
696.5,21920
274.0,21914
73.09,21914
038.9,21867
V62.82,21804
367.20,21780
530.1,21753
389.16,21732
89.37,21614
281.2,21610
785.2,21576
455.0,21573
610.1,21563
522.0,21536
99.17,21512
786.5,21494
789.03,21483
250.40,21478
276.51,21441
995.91,21287
826.0,21221
285.1,21196
820.20,21165
431,21157
799.9,21079
00168,21078
233.0,21011
715.0,21004
727.42,20976
685.1,20965
290.20,20889
707.03,20888
E906.0,20881
388.01,20877
309.1,20865
346,20851
1.1.04,20849
154.1,20842
882.0,20834
288.8,20763
V45.89,20699
12.92,20665
365.10,20613
813.42,20544
69.02,20530
585,20529
307.9,20484
V02.51,20480
704.01,20317
438.0,20254
50.01,20232
I50.9,20161
995.92,20152
632,20143
197.6,20123
303.9,20053
440.21,20045
403.91,20040
453.40,20038
482.9,20037
454.0,20004
350.1,19990
36.07,19985
560.9,19896
202.1,19851
715.00,19824
0006N,19791
00108,19654
728.6,19637
346.90,19556
00069,19465
4A02X4Z,19446
707.0,19446
727.43,19425
373.2,19377
078.19,19334
530.10,19306
788.99,19300
276.2,19299
368,19288
606.9,19246
00093,19245
585.2,19240
355.6,19234
V10.05,19215
786.52,19162
397.0,19135
726.11,19124
V12.51,19119
309,19088
922.31,18988
410.71,18962
B246ZZZ,18944
V87.41,18934
296.2,18854
386.9,18833
217,18829
478.0,18825
726.33,18780
00092,18712
727.1,18695
V72.84,18674
V10.51,18667
434.01,18648
V45.51,18621
433.10,18549
250.01,18528
571.9,18509
518.83,18505
413,18442
787.6,18414
523.1,18397
80.6,18370
690,18340
522.4,18318
