orden,Frequency.10
1.0,2487546.0
2.0,2251799.0
3.0,1239203.0
4.0,804682.0
5.0,517666.0
6.0,341948.0
7.0,224956.0
8.0,145625.0
9.0,95899.0
10.0,53586.0
11.0,36526.0
12.0,25305.0
13.0,17895.0
14.0,12834.0
15.0,9430.0
16.0,6959.0
17.0,5251.0
18.0,3993.0
19.0,3095.0
20.0,2388.0
21.0,1885.0
22.0,1488.0
23.0,1174.0
24.0,948.0
25.0,267.0
26.0,208.0
27.0,168.0
28.0,130.0
29.0,99.0
30.0,68.0
