orden,Frequency.11
1.0,6446224.0
2.0,5132983.0
3.0,3654588.0
4.0,2798978.0
5.0,2125151.0
6.0,1610904.0
7.0,1209224.0
8.0,898041.0
9.0,636843.0
10.0,372497.0
11.0,280727.0
12.0,211140.0
13.0,158314.0
14.0,118161.0
15.0,88643.0
16.0,66629.0
17.0,49874.0
18.0,37474.0
19.0,27985.0
20.0,21132.0
21.0,15952.0
22.0,12160.0
23.0,9100.0
24.0,6949.0
25.0,4827.0
26.0,3671.0
27.0,2796.0
28.0,2153.0
29.0,1679.0
30.0,1256.0
