cir_alta,Frequency.7
1.0,5690438.0
3.0,1116430.0
2.0,635541.0
10.0,390448.0
5.0,152715.0
7.0,120596.0
8.0,62571.0
99.0,39537.0
9.0,36341.0
6.0,17175.0
15.0,15334.0
4.0,12567.0
11.0,2075.0
13.0,904.0
12.0,303.0
0.0,41.0
